GEO_ID,RESP_DATE,DRRINT,DRRALL,CRRINT,CRRALL
1400000US36061000201,3/30/20,0.5,0.5,26.3,27
1400000US36061000202,3/30/20,1.5,1.5,30.8,31.9
1400000US36061000500,3/30/20,0,0,0,0
1400000US36061000600,3/30/20,0.7,1.3,16,25.5
1400000US36061000700,3/30/20,1.1,1.1,23.7,23.7
1400000US36061000800,3/30/20,1.1,1.1,19.4,19.6
1400000US36061000900,3/30/20,1.3,1.3,24.1,24.1
1400000US36061001001,3/30/20,1.7,1.7,30.9,31.5
1400000US36061001002,3/30/20,0.7,1.8,15.3,31.3
1400000US36061001200,3/30/20,1.2,1.2,26.8,27.5
1400000US36061001300,3/30/20,1.2,1.2,24.6,24.6
1400000US36061001401,3/30/20,1.5,1.5,31,31.6
1400000US36061001402,3/30/20,1.2,1.2,29.4,29.7
1400000US36061001501,3/30/20,1.6,1.6,28.5,28.8
1400000US36061001502,3/30/20,1.3,1.3,24.4,24.4
1400000US36061001600,3/30/20,1.6,1.6,23.5,23.8
1400000US36061001800,3/30/20,1.1,1.1,23,23.1
1400000US36061002000,3/30/20,0.7,1.6,15.7,30.1
1400000US36061002100,3/30/20,0.8,0.8,26.3,26.3
1400000US36061002201,3/30/20,1.3,1.3,28.1,28.6
1400000US36061002202,3/30/20,1.2,1.2,25.5,25.5
1400000US36061002400,3/30/20,0.3,1.9,14.9,30.9
1400000US36061002500,3/30/20,1,1.9,18.7,33.1
1400000US36061002601,3/30/20,0.9,0.9,24.4,24.8
1400000US36061002602,3/30/20,1.6,1.6,23.1,23.4
1400000US36061002700,3/30/20,1.7,1.7,28.4,28.8
1400000US36061002800,3/30/20,1.4,1.4,24.1,24.6
1400000US36061002901,3/30/20,1.1,1.1,22.5,22.5
1400000US36061002902,3/30/20,1,1,22.5,22.7
1400000US36061003001,3/30/20,1,1,26.9,26.9
1400000US36061003002,3/30/20,0.7,0.7,23.6,24.3
1400000US36061003100,3/30/20,1,1,21.7,21.9
1400000US36061003200,3/30/20,1.4,1.4,28.3,28.6
1400000US36061003300,3/30/20,1.6,1.6,25.2,25.3
1400000US36061003400,3/30/20,1.1,1.1,23.8,24
1400000US36061003601,3/30/20,1.6,1.6,22.5,22.7
1400000US36061003602,3/30/20,1.4,1.4,24.9,25.1
1400000US36061003700,3/30/20,0.7,0.8,22.2,22.4
1400000US36061003800,3/30/20,1.3,1.3,25.9,26
1400000US36061003900,3/30/20,1.2,1.2,22.9,23.1
1400000US36061004001,3/30/20,1.2,1.2,27.5,27.7
1400000US36061004002,3/30/20,0.8,0.8,24.8,25.2
1400000US36061004100,3/30/20,1,1,22.4,22.5
1400000US36061004200,3/30/20,1.2,1.2,26,26.1
1400000US36061004300,3/30/20,1,1,21.6,21.8
1400000US36061004401,3/30/20,1.7,1.7,38.1,38.4
1400000US36061004402,3/30/20,1.5,1.5,39.7,40.2
1400000US36061004403,3/30/20,1.9,1.9,36.7,37.2
1400000US36061004500,3/30/20,0.3,0.3,16.3,16.6
1400000US36061004700,3/30/20,0.9,0.9,17.9,18.1
1400000US36061004800,3/30/20,1.6,1.6,29.5,29.8
1400000US36061004900,3/30/20,0.9,0.9,22.5,22.8
1400000US36061005000,3/30/20,1.4,1.4,28.4,28.6
1400000US36061005200,3/30/20,1.5,1.5,27.7,28
1400000US36061005400,3/30/20,1.1,1.1,28.3,28.5
1400000US36061005501,3/30/20,1.4,1.4,31,31.1
1400000US36061005502,3/30/20,0.9,0.9,20,20.1
1400000US36061005600,3/30/20,1,1,22.4,22.7
1400000US36061005700,3/30/20,1.3,1.3,31.7,31.7
1400000US36061005800,3/30/20,0.9,0.9,22.1,22.1
1400000US36061005900,3/30/20,1.1,1.1,30,30.4
1400000US36061006000,3/30/20,1.8,1.8,30.8,31.1
1400000US36061006100,3/30/20,1.3,1.3,26.9,27.1
1400000US36061006200,3/30/20,1.1,1.1,31.4,31.6
1400000US36061006300,3/30/20,1,1,25.4,25.6
1400000US36061006400,3/30/20,1.5,1.5,30.3,30.6
1400000US36061006500,3/30/20,1.1,1.1,25.4,25.5
1400000US36061006600,3/30/20,1.5,1.5,30.8,31.4
1400000US36061006700,3/30/20,1,1.1,26.7,26.9
1400000US36061006800,3/30/20,0.9,0.9,23.6,23.9
1400000US36061006900,3/30/20,1.6,1.6,24.1,24.2
1400000US36061007001,3/30/20,1.7,1.7,27.2,27.5
1400000US36061007002,3/30/20,1.2,1.2,24.2,24.3
1400000US36061007100,3/30/20,0.9,0.9,24.7,25
1400000US36061007200,3/30/20,1,1,25,25.1
1400000US36061007300,3/30/20,0.9,0.9,24.3,24.3
1400000US36061007400,3/30/20,1.1,1.1,20.6,20.7
1400000US36061007500,3/30/20,0.7,0.7,24.5,24.8
1400000US36061007600,3/30/20,1.1,1.1,18.6,18.8
1400000US36061007700,3/30/20,1,1,24.2,24.3
1400000US36061007800,3/30/20,1.2,1.2,28.1,28.3
1400000US36061007900,3/30/20,1,1,24,24.1
1400000US36061008000,3/30/20,1.1,1.1,26.6,26.8
1400000US36061008100,3/30/20,1.4,1.4,27,27.2
1400000US36061008200,3/30/20,1.6,1.6,23.8,23.9
1400000US36061008300,3/30/20,1.1,1.1,23.3,23.7
1400000US36061008400,3/30/20,0.6,0.6,11.2,11.3
1400000US36061008601,3/30/20,1.1,1.1,16.6,16.7
1400000US36061008603,3/30/20,0.9,0.9,22,22.2
1400000US36061008700,3/30/20,1.3,1.3,28.8,29
1400000US36061008800,3/30/20,1.6,1.6,27.3,27.5
1400000US36061008900,3/30/20,1.2,1.2,26.3,26.6
1400000US36061009000,3/30/20,1.4,1.4,25.3,25.5
1400000US36061009100,3/30/20,1.3,1.3,28,28.2
1400000US36061009200,3/30/20,1.4,1.4,24.3,24.5
1400000US36061009300,3/30/20,1.3,1.3,31.8,32.3
1400000US36061009400,3/30/20,2.7,2.7,23.3,23.3
1400000US36061009500,3/30/20,1.2,1.2,23.3,23.5
1400000US36061009600,3/30/20,1.1,1.1,13.4,13.4
1400000US36061009700,3/30/20,1.5,1.5,34.6,35.3
1400000US36061009800,3/30/20,0.9,0.9,26.7,26.9
1400000US36061009901,3/30/20,1.4,1.4,24,24
1400000US36061009902,3/30/20,1.9,1.9,27.3,27.4
1400000US36061009903,3/30/20,1.3,1.3,22,22.1
1400000US36061010000,3/30/20,1.1,1.1,20.5,20.6
1400000US36061010100,3/30/20,0.5,0.5,18.8,19
1400000US36061010200,3/30/20,0.3,0.3,6.2,6.2
1400000US36061010300,3/30/20,1.3,1.3,22,22.1
1400000US36061010400,3/30/20,0.8,0.8,15.9,16.1
1400000US36061010601,3/30/20,1.5,1.5,21.9,22.3
1400000US36061010602,3/30/20,1.8,1.8,29.5,29.7
1400000US36061010801,3/30/20,1.4,1.4,30.3,30.6
1400000US36061010802,3/30/20,1.2,1.2,29,29.5
1400000US36061010900,3/30/20,0.7,0.7,23.3,23.3
1400000US36061011000,3/30/20,1.4,1.4,25.9,26.3
1400000US36061011100,3/30/20,1.1,1.1,23.1,23.3
1400000US36061011201,3/30/20,0.6,0.6,18.9,19
1400000US36061011202,3/30/20,0.3,0.3,8.7,8.7
1400000US36061011203,3/30/20,0.7,0.8,17.1,17.5
1400000US36061011300,3/30/20,0.8,0.8,20.2,20.2
1400000US36061011401,3/30/20,0.3,0.3,8.7,8.8
1400000US36061011402,3/30/20,0.6,0.6,18.4,18.6
1400000US36061011500,3/30/20,0.8,0.8,24.2,24.5
1400000US36061011600,3/30/20,1.1,1.1,23.9,24.4
1400000US36061011700,3/30/20,1.2,1.2,22.8,22.9
1400000US36061011800,3/30/20,1.2,1.2,27.5,27.8
1400000US36061011900,3/30/20,0.8,0.8,15.4,17.5
1400000US36061012000,3/30/20,0.8,0.8,23.6,23.9
1400000US36061012101,3/30/20,1.4,1.4,29.5,29.8
1400000US36061012102,3/30/20,1.3,1.4,40,41.1
1400000US36061012200,3/30/20,0.6,0.6,16.1,16.3
1400000US36061012400,3/30/20,1.6,1.6,29.4,29.6
1400000US36061012500,3/30/20,1.1,1.1,21.1,21.5
1400000US36061012601,3/30/20,1.2,1.2,20.9,21.2
1400000US36061012602,3/30/20,1.6,1.6,25.3,25.8
1400000US36061012700,3/30/20,1.5,1.5,27.5,27.7
1400000US36061012800,3/30/20,1,1,19.4,19.5
1400000US36061012901,3/30/20,1.3,1.3,26.6,26.8
1400000US36061012902,3/30/20,1.8,1.8,30.6,30.9
1400000US36061013000,3/30/20,1.2,1.2,13.4,13.5
1400000US36061013100,3/30/20,1.1,1.1,24.1,24.4
1400000US36061013201,3/30/20,1.7,1.7,33.5,33.7
1400000US36061013202,3/30/20,1.5,1.5,28.3,28.5
1400000US36061013300,3/30/20,1.4,1.4,25.1,25.4
1400000US36061013400,3/30/20,1.3,1.3,25.6,25.9
1400000US36061013501,3/30/20,1.4,1.4,28.6,29.1
1400000US36061013502,3/30/20,1.5,1.5,22.1,22.6
1400000US36061013601,3/30/20,1.7,1.7,28.3,28.5
1400000US36061013602,3/30/20,1.5,1.5,28.3,28.5
1400000US36061013603,3/30/20,1.5,1.5,25.7,25.7
1400000US36061013700,3/30/20,0.9,0.9,19.8,20
1400000US36061013800,3/30/20,1.4,1.4,32.4,32.6
1400000US36061013900,3/30/20,1.4,1.4,28.4,28.6
1400000US36061014000,3/30/20,1.2,1.2,22.6,22.7
1400000US36061014200,3/30/20,0.9,0.9,16.5,16.6
1400000US36061014401,3/30/20,2.3,2.3,28.9,29.3
1400000US36061014402,3/30/20,1.7,1.7,27.9,28.3
1400000US36061014500,3/30/20,1.4,1.4,27.6,27.7
1400000US36061014601,3/30/20,1.7,1.7,31.6,31.9
1400000US36061014602,3/30/20,1.2,1.2,26.1,26.3
1400000US36061014700,3/30/20,1.3,1.3,26.7,26.8
1400000US36061014801,3/30/20,1.6,1.6,24.4,24.7
1400000US36061014802,3/30/20,1.6,1.6,30.4,30.7
1400000US36061014900,3/30/20,1.7,1.7,25.6,25.9
1400000US36061015001,3/30/20,1.4,1.4,21.4,21.5
1400000US36061015002,3/30/20,1.1,1.1,23.3,23.5
1400000US36061015101,3/30/20,1.1,1.1,18.5,18.7
1400000US36061015102,3/30/20,1,1,22,22.7
1400000US36061015200,3/30/20,1.4,1.5,33.1,33.8
1400000US36061015301,3/30/20,1.6,1.6,29,29.2
1400000US36061015302,3/30/20,1.6,1.6,29.3,29.5
1400000US36061015401,3/30/20,1.9,1.9,35.7,36.1
1400000US36061015402,3/30/20,1.8,1.8,34.4,34.7
1400000US36061015501,3/30/20,1.6,1.6,29.5,29.8
1400000US36061015502,3/30/20,2.1,2.2,30.5,31
1400000US36061015601,3/30/20,1.3,1.3,32.4,32.8
1400000US36061015602,3/30/20,1.9,1.9,26,26.8
1400000US36061015700,3/30/20,1.7,1.7,29.8,30.2
1400000US36061015801,3/30/20,1.7,1.7,28,28
1400000US36061015802,3/30/20,1.4,1.4,31.6,31.8
1400000US36061015900,3/30/20,1.5,1.5,28.8,29.1
1400000US36061016001,3/30/20,1.8,1.8,20.7,20.7
1400000US36061016002,3/30/20,1.5,1.5,26.9,27.2
1400000US36061016100,3/30/20,1.5,1.5,32,32.1
1400000US36061016200,3/30/20,0.9,2,14.9,29.5
1400000US36061016300,3/30/20,1.4,1.4,29.3,29.5
1400000US36061016400,3/30/20,0.6,1.4,15,29
1400000US36061016500,3/30/20,1.2,1.2,29.8,30.1
1400000US36061016600,3/30/20,1,1,24.8,25.1
1400000US36061016700,3/30/20,1.5,1.5,25.4,25.6
1400000US36061016800,3/30/20,0.7,0.7,21.8,22.4
1400000US36061016900,3/30/20,2,2,24.9,25.1
1400000US36061017000,3/30/20,0.4,1.3,15,30.3
1400000US36061017100,3/30/20,1.5,1.5,34.8,35
1400000US36061017200,3/30/20,1.1,1.1,22.3,22.7
1400000US36061017300,3/30/20,1.4,1.4,29.9,30.1
1400000US36061017401,3/30/20,1.1,1.1,23.8,24.7
1400000US36061017402,3/30/20,0.5,0.5,25.9,26
1400000US36061017500,3/30/20,1.8,1.8,33.1,33.4
1400000US36061017700,3/30/20,1.7,1.7,33.6,34.3
1400000US36061017800,3/30/20,1,1,20.4,20.8
1400000US36061017900,3/30/20,1.8,1.8,32,32.3
1400000US36061018000,3/30/20,0.9,0.9,22.2,22.7
1400000US36061018100,3/30/20,1.9,1.9,32.1,32.6
1400000US36061018200,3/30/20,0.5,1,15,23.9
1400000US36061018300,3/30/20,1.9,1.9,29.2,29.5
1400000US36061018400,3/30/20,0.8,1.5,16.4,27.8
1400000US36061018500,3/30/20,2.2,2.2,31.7,32.1
1400000US36061018600,3/30/20,1.8,1.9,26.2,27.2
1400000US36061018700,3/30/20,1.8,1.8,34.9,35.3
1400000US36061018800,3/30/20,0.6,0.6,18,18.3
1400000US36061018900,3/30/20,1.4,1.4,27.5,28.2
1400000US36061019000,3/30/20,1.3,1.3,28.2,29.1
1400000US36061019100,3/30/20,1.9,1.9,33.8,34.1
1400000US36061019200,3/30/20,0.6,1.4,15.4,27.1
1400000US36061019300,3/30/20,1.3,1.3,29.5,30.2
1400000US36061019400,3/30/20,0.5,1.5,14.1,24.9
1400000US36061019500,3/30/20,1.9,1.9,34.2,34.5
1400000US36061019600,3/30/20,0.4,2.5,12.3,28.6
1400000US36061019701,3/30/20,0.4,0.4,17.4,17.6
1400000US36061019702,3/30/20,1.2,1.2,29.5,30
1400000US36061019800,3/30/20,1,1,25.3,25.9
1400000US36061019900,3/30/20,1.4,1.4,27.1,27.3
1400000US36061020000,3/30/20,1.2,1.2,18.3,18.6
1400000US36061020101,3/30/20,1.9,1.9,29.6,29.6
1400000US36061020102,3/30/20,1.3,1.3,29.3,29.6
1400000US36061020300,3/30/20,1.2,1.2,19.5,19.7
1400000US36061020500,3/30/20,1.3,1.3,36.3,36.5
1400000US36061020600,3/30/20,0.8,0.8,20.7,21.4
1400000US36061020701,3/30/20,1.7,1.7,32.8,32.9
